New Name,Feature_Description,Date,MapInfo,Province,FeatureSubTypeID,Previous_Name,MagisterialDistrictID,ProvinceID,fklLanguageID,Disteral,Local Municipality,Sound,District Municipality,fklLocalMunic,Comments,Meaning,Language
Batubatse,Post Office,2001-08-14 00:00:00,22 km W of Phalaborwa,Limpopo,73.0,,337.0,7.0,4.0,DC33,Ba-Phalaborwa,,Mopani,NP334,,,
Bavaria,Post Office,2001-08-14 00:00:00,7 km East of Trevis RPA,Limpopo,73.0,,345.0,7.0,14.0,DC36,Mogalakwena,,Waterberg,NP367,,,
Begwa,Town,2006-07-27 00:00:00,39 km NE of Thohoyandou,Limpopo,111.0,,354.0,7.0,9.0,DC34,Thulamela,,Vhembe,NP343,,,
Bela-Bela,Town,2006-07-27 00:00:00,Formerly Warmbaths - Warmbad,Limpopo,111.0,,334.0,7.0,4.0,DC36,Bela-Bela,,Waterberg,NP366,,,
Benfarm,Post Office,2001-04-08 00:00:00,8 km N of Phalaborwa,Limpopo,73.0,,327.0,7.0,2.0,DC33,Ba-Phalaborwa,,Mopani,NP334,,,
Bereseba,Post Office,2000-03-14 00:00:00,45 km W of Brits,North West,73.0,,267.0,8.0,8.0,DC37,Rustenburg,,Bojanala,NW373,,"""On the podium""",
Bhaziya,River (not specified),2005-02-25 00:00:00,34km West,KwaZulu-Natal,119.0,Baziya,,4.0,10.0,DC26,Ulundi,,Zululand,KZ266,Baziya,,
Bhaziya,Village,2005-02-25 00:00:00,34 km W,KwaZulu-Natal,106.0,,,4.0,10.0,DC26,Ulundi,,Zululand,KZ266,,,
Bhaziya,Forest,2005-02-25 00:00:00,34 km W,KwaZulu-Natal,132.0,,,4.0,10.0,DC26,Ulundi,,Zululand,KZ266,,,
Bhirha,River (not specified),2004-07-16 00:00:00,,Eastern Cape,119.0,Bira,,1.0,10.0,DC12,Ngqushwa,,Amathole,EC126,Bira,,
Bhisho,Post Office,2005-02-25 00:00:00,57 km SE of Lady Frere,Eastern Cape,73.0,Bisho,,1.0,10.0,DC12,Buffalo City,,Chris Hani,EC125,Bisho,,
Bhisho,Police Station,2005-02-25 00:00:00,57 km SE of Lady Frere,Eastern Cape,72.0,Bisho,,1.0,10.0,DC12,Buffalo City,,Chris Hani,EC125,Bisho,,
Bhisho,Town,2006-07-27 00:00:00,5 km NE of King William’s Town Lat: 32° 50' Long:,Eastern Cape,111.0,,63.0,1.0,10.0,DC12,Buffalo City,,Chris Hani,EC125,,,
Bholo,River (not specified),2005-02-25 00:00:00,34 km E,Eastern Cape,119.0,Bolo,,1.0,10.0,DC12,Nkonkobe,,O.R.Tambo,EC127,Bolo,,
Bholo,Area,2005-02-25 00:00:00,,Eastern Cape,7.0,Bolo,,1.0,10.0,DC12,Nkonkobe,,O.R.Tambo,EC127,Bolo,,
Bholo,Police Station,2005-02-25 00:00:00,4 km NE,Eastern Cape,72.0,Bolo,,1.0,10.0,DC12,Nkonkobe,,O.R.Tambo,EC127,Bolo,,
Bholothwa,Post Office,2004-07-16 00:00:00,57 km SE of Lady Frere,Eastern Cape,73.0,Bolotwa,,1.0,10.0,DC13,Intsika Yethu,,Chris Hani,EC135,Bolotwa,,
Bholothwa,River (not specified),2004-07-16 00:00:00,57 km SE of Lady Frere,Eastern Cape,119.0,Bolotwa,,1.0,10.0,DC13,Intsika Yethu,,Chris Hani,EC135,Bolotwa,,
Bholothwa,Police Station,2004-07-16 00:00:00,57 km SE of Lady Frere,Eastern Cape,72.0,Bolotwa,,1.0,10.0,DC13,Intsika Yethu,,Chris Hani,EC135,Bolotwa,,
Bholothwa,Village,2006-07-27 00:00:00,57 km SE of Lady Frere Lat: 31° 59' Long: 27° 11',Eastern Cape,106.0,,118.0,1.0,10.0,DC13,Intsika Yethu,,Chris Hani,EC135,,,
Bhundu,Village,2009-09-18 00:00:00,,Mpumalanga,,Goederede,,,,,Thembisile,,Nkangala,,Change of Name,,
Boardwalk Manor,Residential Town,2001-04-09 00:00:00,Directly adjacent to Pretoria Municipal boundary,Gauteng,129.0,,270.0,3.0,2.0,DC46,Kungwini,,City of Tshwane,GT02b2,,,
Boardwalk Meander,Town,2006-07-27 00:00:00,Situated within 600 m from Tshwane,Free State,111.0,,270.0,2.0,2.0,DC18,Tokologo,,Lejweleputswa,FS182,,,
